When I look at people I don't see colors; I just see crackpot religions.,Chief Wiggum
But my mom says I'm cool.,Milhouse Van Houten
"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
Oh Yeah!,Duffman
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
They taste like...burning.,Ralph Wiggum
My eyes! The goggles do nothing!,Rainier Wolfcastle
Thank you. Come again.,Apu Nahasapeemapetilon
My eyes! The goggles do nothing!,Rainier Wolfcastle
"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!",Moe Szyslak
"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
They taste like...burning.,Ralph Wiggum
Me fail English? That's unpossible.,Ralph Wiggum
"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.",Abe Simpson
Ahh! Sweet liquor eases the pain.,Troy McClure
"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.",Abe Simpson
Eat my shorts,Bart Simpson
"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!",Moe Szyslak
I'm sleeping in the bath tub.,Marge Simpson
My eyes! The goggles do nothing!,Rainier Wolfcastle
But my mom says I'm cool.,Milhouse Van Houten
Ahh! Sweet liquor eases the pain.,Troy McClure
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
"Oh, wow, windows. I don't think I could afford this place.",Otto
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
"Hi, Super Nintendo Chalmers!",Ralph Wiggum
Me fail English? That's unpossible.,Ralph Wiggum
I'm sleeping in the bath tub.,Marge Simpson
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
Ahh! Sweet liquor eases the pain.,Troy McClure
I think women and seamen don't mix,Waylon Smithers
"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff.",Moe Szyslak
Oh Yeah!,Duffman
They taste like...burning.,Ralph Wiggum
Nothing you say can upset us. We're the MTV generation.,Bart Simpson
"Hi, Super Nintendo Chalmers!",Ralph Wiggum
Oh Yeah!,Duffman
I think women and seamen don't mix,Waylon Smithers
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
Ahh! Sweet liquor eases the pain.,Troy McClure
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
But my mom says I'm cool.,Milhouse Van Houten
"Hi, Super Nintendo Chalmers!",Ralph Wiggum
Oh Yeah!,Duffman
"Oh, wow, windows. I don't think I could afford this place.",Otto
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
But my mom says I'm cool.,Milhouse Van Houten
When I look at people I don't see colors; I just see crackpot religions.,Chief Wiggum
"Oh, wow, windows. I don't think I could afford this place.",Otto
"Shut up, brain. I got friends now. I don't need you anymore.",Lisa Simpson
"For once maybe someone will call me ""sir"" without adding, ""You're making a scene.""",Homer Simpson
Me fail English? That's unpossible.,Ralph Wiggum
That's where I saw the leprechaun...He told me to burn things.,Ralph Wiggum
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
"Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon.",Dr. Nick
Inflammable means flammable? What a country!,Dr. Nick
Nothing you say can upset us. We're the MTV generation.,Bart Simpson
Ahh! Sweet liquor eases the pain.,Troy McClure
I can't even say the word 'titmouse' without gigggling like a schoolgirl.,Homer Simpson
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff.",Moe Szyslak
When I look at people I don't see colors; I just see crackpot religions.,Chief Wiggum
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
I believe the children are the future... Unless we stop them now!,Homer Simpson
My eyes! The goggles do nothing!,Rainier Wolfcastle
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
I believe the children are the future... Unless we stop them now!,Homer Simpson
"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum
My eyes! The goggles do nothing!,Rainier Wolfcastle
"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum
"Hi, Super Nintendo Chalmers!",Ralph Wiggum
"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!",Moe Szyslak
"Shut up, brain. I got friends now. I don't need you anymore.",Lisa Simpson
Ahh! Sweet liquor eases the pain.,Troy McClure
Eat my shorts,Bart Simpson
"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum
Can't we have one meeting that doesn't end with us digging up a corpse?,Mayor Quimby
When I look at people I don't see colors; I just see crackpot religions.,Chief Wiggum
They taste like...burning.,Ralph Wiggum
Me fail English? That's unpossible.,Ralph Wiggum
"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.",Homer Simpson
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
"Hi, Super Nintendo Chalmers!",Ralph Wiggum
These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.,Lisa Simpson
Facts are meaningless. You could use facts to prove anything that's even remotely true.,Homer Simpson
"Shut up, brain. I got friends now. I don't need you anymore.",Lisa Simpson
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
"Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon.",Dr. Nick
"In theory, Communism works! In theory.",Homer Simpson
